# i j cov
# order is xi+_0,xi+_1,...,xi-_0,xi-_1,.... from small scales to large in each
# tomo bins are in c order (i.e. 0,0 0,1 0,2 1,0 1,2 2,2) w/ internal order as above
8 8 9.78950567061326156896e-12
8 9 -2.26053841902922028323e-13
8 10 2.68187488219255761860e-13
8 11 -3.81830354564456457248e-14
8 12 -2.29073137628703069205e-12
8 13 -2.77336877347751110022e-12
8 14 3.56892380972844278614e-13
8 15 -2.03274792989896486979e-13
8 16 1.38396753110747128482e-13
8 17 2.30371820945706958356e-13
8 18 -1.82160452915334011481e-12
8 19 2.36550152348688040936e-13
8 20 5.11724741117217877390e-13
8 21 1.25235802873120858117e-13
8 22 2.39958921063378352885e-13
8 23 5.87487974394798354702e-14
8 24 3.12186925219454740054e-13
8 25 4.74990602912636749417e-13
8 26 7.62232822538217388223e-13
8 27 2.28999241842448807338e-13
8 28 1.94732253721222493234e-13
8 29 1.30460728944533506247e-13
8 30 -3.60373488376617702096e-12
8 31 -6.83765269313861335150e-13
8 32 6.53624386132451034654e-13
8 33 8.16213805060938283607e-14
8 34 3.10090530420748000934e-13
8 35 5.38255305671160739193e-14
8 36 2.06245089545112305435e-12
8 37 -2.30966092383321356034e-14
8 38 -9.22881047107055362863e-13
8 39 2.50857912673779731363e-13
8 40 -8.26558613232086493234e-14
8 41 2.23155342983608648653e-13
8 42 2.02987598738273658237e-12
8 43 -2.37381967362655463314e-13
8 44 1.33839178079295386671e-13
8 45 8.07502110043457000468e-13
8 46 1.72516862945297150194e-13
8 47 2.82411286836681919315e-13
8 48 1.98172705041651955938e-12
8 49 -6.59529085606357013141e-14
8 50 6.06739841702835125912e-13
8 51 6.47203877084907748623e-13
8 52 5.47458366743979503985e-14
8 53 2.03033818508005749469e-13
8 54 1.50160267115385462294e-12
8 55 -8.29230307812269493775e-13
8 56 7.34991307016633786861e-13
8 57 -1.28906757631988126584e-13
8 58 1.04376001122319863007e-14
8 59 5.10336754711493898958e-14
8 60 -2.93838904280154010529e-12
8 61 8.68834053359748810912e-13
8 62 -4.58235813597503863066e-13
8 63 9.25529025761982622327e-13
8 64 8.57744258692022225368e-13
8 65 5.41607889665763259605e-13
8 66 -2.57027118277031009197e-12
8 67 2.04907476375735067458e-12
8 68 2.65684620676010716231e-13
8 69 9.41400418564823671367e-13
8 70 -1.79608617284875564902e-13
8 71 8.80802894463818723046e-15
9 0 2.86285169102031653200e-12
9 1 -6.88936783695881033928e-14
9 2 -1.74621419788678844055e-13
9 3 -6.75704663412269602587e-14
9 4 -7.32851733885695070384e-14
9 5 -2.94746114748114812266e-14
9 6 1.47836344320483722894e-12
9 7 2.10193074396773019026e-12
9 8 -2.26053841902922028323e-13
9 9 1.85123607128953702181e-12
9 10 3.17675749381914996016e-14
9 11 5.70076493068610122679e-14
9 12 9.75679206043689406806e-13
9 13 3.33966820745841385932e-13
9 14 2.06855834705497714156e-13
9 15 -3.13577211696942344090e-14
9 16 -3.59341062954419367820e-14
9 17 -1.01828928975194367032e-13
9 18 -8.37238522933924803097e-13
9 19 2.35967127475345010465e-13
9 20 -8.45036135231482104464e-14
9 21 6.07897310743627589966e-15
9 22 5.93192329998210981442e-14
9 23 -8.29389740187658867506e-15
9 24 8.88777863274475569373e-13
9 25 1.50285806221706062217e-12
9 26 2.70969516052911303420e-13
9 27 -4.83934413714615445608e-14
9 28 -1.85426243309519837302e-13
9 29 -1.13755816660256517093e-13
9 30 6.90711007563506941216e-13
9 31 -1.17332042662970552080e-14
9 32 2.13359346381451825978e-13
9 33 1.17825915505098952206e-13
9 34 9.54312608456304319606e-14
9 35 8.38037001680084746281e-14
9 36 3.11618644001155150626e-13
9 37 4.75498119476292313339e-13
9 38 1.79891950001155820001e-13
9 39 -3.86191679274279982336e-14
9 40 -1.78994327642098912532e-13
9 41 -2.18833103579873718943e-13
9 42 -2.10325015894423291325e-12
9 43 -8.76892888850854767710e-13
9 44 2.15242455778106565911e-13
9 45 -3.18353884564719113817e-14
9 46 2.67917703933755486552e-14
9 47 8.04803992065716709769e-14
9 48 -4.32075595118377355341e-14
9 49 7.45107078607496584152e-13
9 50 -1.32525417801297117054e-13
9 51 9.88816134264072864784e-14
9 52 -1.30104450283657155355e-13
9 53 -1.84637746227374878918e-13
9 54 -4.17420915863177707012e-13
9 55 -4.04317830528912215656e-13
9 56 -8.98993888603611565249e-15
9 57 2.01365934284262446873e-13
9 58 1.47220226711296592113e-13
9 59 1.04551915745686922598e-13
9 60 4.05613760955465001238e-13
9 61 7.14709508892516424117e-13
9 62 -1.36436689849890018538e-13
9 63 6.48358746848663213074e-14
9 64 -1.95180015368538710831e-13
9 65 -1.95795269475352279904e-13
9 66 9.37902850450969213267e-14
9 67 1.91721548123130220439e-13
9 68 4.08767710291082711694e-13
9 69 3.12708223206548483766e-14
9 70 -9.00883729500478827208e-14
9 71 7.09912274893076456861e-14
10 0 3.27632151619405642316e-13
10 1 -4.48021128421971106236e-13
10 2 1.89072196720346838240e-13
10 3 8.36384749282874483908e-15
10 4 -4.88637326377518249470e-14
10 5 4.74128779094883458040e-15
10 6 5.92559982227810424975e-13
10 7 -1.70637259461520851566e-13
10 8 2.68187488219255761860e-13
10 9 3.17675749381914996016e-14
10 10 4.62377339365053954592e-13
10 11 3.41135285262204031628e-14
10 12 1.18998672004788534246e-12
10 13 2.11241788507195276867e-13
10 14 2.28485006545237304116e-13
10 15 8.90948401467625747638e-14
10 16 3.46405236170220011945e-14
10 17 -9.32563929916229040098e-15
10 18 -7.09553312026422170483e-13
10 19 -3.84733256658459079416e-13
10 20 1.93155030874523960236e-13
10 21 -4.67381285604905144143e-14
10 22 8.95415790372648575303e-14
10 23 4.44790575697836511983e-14
10 24 1.59114535130316134176e-12
10 25 -1.98863066715077736171e-13
10 26 2.92575753449554161768e-13
10 27 1.28198679770913944302e-13
10 28 2.97116785375756201195e-14
10 29 -1.62929146423615386152e-14
10 30 -5.31402967344029273374e-13
10 31 -4.19172795240573978207e-13
10 32 3.84959263115913146555e-13
10 33 -1.11445936666249839329e-13
10 34 9.60570805447761378394e-14
10 35 2.39307224613934861351e-14
10 36 -1.69141936573442978884e-12
10 37 -6.66674504344755462491e-13
10 38 9.54906265086321731425e-14
10 39 6.77805933566014071584e-14
10 40 4.20847083926760593111e-15
10 41 -4.42638406223207957672e-14
10 42 2.90764211801775727447e-13
10 43 -7.83745722856543119016e-13
10 44 9.41060501815716290355e-14
10 45 1.20321759028401719646e-14
10 46 -3.45357620577466280498e-14
10 47 1.30702290204381613145e-14
10 48 -9.78946533290269658382e-13
10 49 -8.36090478407622077027e-15
10 50 -1.02634475941643783376e-13
10 51 5.95667062928916140407e-14
10 52 6.54374083619835272070e-14
10 53 -3.93628621306913352423e-14
10 54 3.83487795736934535350e-13
10 55 -5.88850621261568952153e-13
10 56 6.85565610016359406243e-14
10 57 -1.45702104041438781315e-14
10 58 1.16759198211944662096e-14
10 59 2.48307436717415810264e-14
10 60 1.56623036600192373905e-12
10 61 6.03152717013583270015e-13
